[(6004.754449, 6.525), (6004.754449, 7.475), (6056.68837, 7.475), (6056.68837, 6.525), (6004.754449, 6.525)] call_backward
[(10355.986182, 6.525), (10355.986182, 7.475), (10407.836456, 7.475), (10407.836456, 6.525), (10355.986182, 6.525)] call_backward
[(10757.213887, 6.525), (10757.213887, 7.475), (10808.94557, 7.475), (10808.94557, 6.525), (10757.213887, 6.525)] call_backward
[(11276.655757, 6.525), (11276.655757, 7.475), (11328.559855, 7.475), (11328.559855, 6.525), (11276.655757, 6.525)] call_backward
[(11811.119015, 6.525), (11811.119015, 7.475), (11862.840266, 7.475), (11862.840266, 6.525), (11811.119015, 6.525)] call_backward
[(15855.552186, 6.525), (15855.552186, 7.475), (15907.736218, 7.475), (15907.736218, 6.525), (15855.552186, 6.525)] call_backward
[(16348.7038, 6.525), (16348.7038, 7.475), (16407.038038, 7.475), (16407.038038, 6.525), (16348.7038, 6.525)] call_backward
[(17044.778423, 6.525), (17044.778423, 7.475), (17096.359546, 7.475), (17096.359546, 6.525), (17044.778423, 6.525)] call_backward
[(17567.171444, 6.525), (17567.171444, 7.475), (17618.766008, 7.475), (17618.766008, 6.525), (17567.171444, 6.525)] call_backward
[(4193.450716, 6.525), (4193.450716, 7.475), (4628.651098, 7.475), (4628.651098, 6.525), (4193.450716, 6.525)] nb_sync_grad:up_pipe
[(10407.979687, 6.525), (10407.979687, 7.475), (10483.730373, 7.475), (10483.730373, 6.525), (10407.979687, 6.525)] nb_sync_grad:up_pipe
[(15907.886873, 6.525), (15907.886873, 7.475), (16418.759638, 7.475), (16418.759638, 6.525), (15907.886873, 6.525)] nb_sync_grad:up_pipe
[(6056.689074, 6.525), (6056.689074, 7.475), (6210.733952, 7.475), (6210.733952, 6.525), (6056.689074, 6.525)] nb_sync_grad
[(11862.841034, 6.525), (11862.841034, 7.475), (12095.865924, 7.475), (12095.865924, 6.525), (11862.841034, 6.525)] nb_sync_grad
[(17619.026582, 6.525), (17619.026582, 7.475), (17691.796676, 7.475), (17691.796676, 6.525), (17619.026582, 6.525)] nb_sync_grad
[(81.68653, 5.525), (81.68653, 6.475), (108.662787, 6.475), (108.662787, 5.525), (81.68653, 5.525)] call_forward
